Input	Target	Prediction
Total Delivered Quantity	Cantidad Total Entregada	Cantidad Total Entregada
Are you sure you want to set the selected work to Unassigned?	¿Está seguro de que desea establecer el trabajo seleccionado como Desasignado?	¿Está seguro de que desea establecer el trabajo seleccionado como Desasignado?
Are you sure you want to cancel the selected records?	¿Está seguro de que desea cancelar los registros seleccionados?	¿Está seguro de que desea cancelar los registros seleccionados?
Is the operator required to confirm the quantity deposited in the destination location?	¿Se requiere que el operador confirme la cantidad depositada en la ubicación de destino?	¿Se requiere que el operador confirme la cantidad depositada en la ubicación de destino?
Minimum Quantity	Cantidad Mínima	Cantidad Mínima
Fail Action	Acción de Fallo.	Acción de Fallo
Voice Code	Código de Voz	Código de Voz
Should the system force all items into a single carton?	¿Debe el sistema forzar que todos los artículos se coloquen en un solo cartón?	¿Debe el sistema forzar todos los artículos a una caja única?
OK to void package?	¿Desea anular el paquete?	¿Desea anular el paquete?
Inventory Attribute Decimal 3	Atributo de Inventario - Decimal 3	Atributo de Inventario - Decimal 3
Processing Field	Campo de Procesamiento	Campo de Procesamiento
Configuration/Shipping Cartonization	Configuración/Envío de Cartonización	Configuración/Envío de Cartonización
{accurate} of {total} counts accurate	{accurate} de {total} conteos correctos	{accurate} de {total} conteos correctos
Are you sure you want to permanently remove the stops?	¿Está seguro de querer quitar las paradas de forma permanentemente?	¿Está seguro de querer quitar las paradas de forma permanentemente?
Should system need to recalculate the putaway location while picking up inventory from this zone?	¿Debe el sistema recalcular la ubicación de almacenaje al surtir inventario de esta zona?	¿Debe el sistema volver a calcular la ubicación de almacenamiento al surtir inventario de esta zona?
Default settings for item replenishments in zone	Configuraciones predeterminadas para los reabastos de artículos en la zona.	Configuraciones predeterminadas para los reabastos de artículos en zona.
Do you need to use a customized RF form at completion of the cartonized picks?	¿Necesita usar un formulario RF personalizado al completar los surtidos cartonizados?	¿Necesita usar un formulario RF personalizado al completar los surtidos cartonizados?
Add a new Count Zone by clicking on the Add Zone button below.	Agregar una nueva Zona de Conteo haciendo clic en el botón Agregar Zona a continuación.	Agregar una nueva Zona de Conteo haciendo clic en el botón Agregar Zona a continuación.
What information will the RF operators verify when picking product	¿Qué información verificarán los operadores de RF al surtir el producto?	¿Qué información verificarán los operadores de RF al surtir el producto?
Add New Return Condition	Agregar Nueva Condición de Devolución	Agregar Nueva Condición de Devolución
Work Areas	Áreas de Trabajo	Áreas de Trabajo
Pick Quantity on Threshold Picking	Cantidad de Surtido en Umbral de Surtidos	Cantidad de Surtido en Umbral de Surtidas
Nesting Class Code	Código de Clase de Anidamiento	Código de Clase de Anidamiento
Break Stop Sequence Code	Código de Ruptura de Secuencia de Paradas	Código de Ruptura de Secuencia de Paradas
Configure each external system that you want to integrate with Warehouse Management.	Configurar cada sistema externo con el que desees integrar con la gestión de almacenes.	Configurar cada sistema externo con el que desees integrar con la gestión de almacenes.
Error Type Code	Código de Tipo de Error	Código de Tipo de Error
Inventory Mass Update	Actualización Masiva del Inventario	Actualización Masiva del Inventario
Transport Equipment Code	Código de Equipo de Transporte	Código de Equipo de Transporte
0 Units received.	0 Unidades recibidas.	0 Unidades recibidas.
Add New Customs Order Type Rule	Agregar Nueva Regla de Tipo de Orden de Aduanas	Agregar Nueva Regla de Tipo de Orden de Aduanas
BOM Quantity	Cantidad de LDM	Cantidad de LM
Operation Codes	Códigos de Operación	Códigos de Operación
Add Advanced Filter	Agregar Filtro Avanzado	Agregar Filtro Avanzado
Expiration Warning (days)	Advertencia de Caducidad (días)	Advertencia de Caducidad (días)
Batch action completed successfully	Acción de Lote se completó correctamente	Acción de Lote se completó correctamente
Do you want to ignore the age of date tracked inventory in the location when attempting to replenish the location?	¿Desea ignorar la edad del inventario controlado por fecha en la ubicación al intentar reabastecer la ubicación?	¿Desea ignorar la edad del inventario controlado por fecha en la ubicación al intentar reabastecer la ubicación?
Adj. Minutes	Minutos del Ajuste	Adj. Minutos
Configuration/Items/Alternate Item Types	Configuración/Artículos/Tipos de Artículo Alternativo	Configuración/Artículos/Tipos de Artículo Alternativo
What is the maximum number of LPNs that can be picked up for a distribution assignment?	¿Cuál es la cantidad máxima de LPN que puede surtirse para una asignación de distribución?	¿Cuál es la cantidad máxima de LPN que puede surtirse para una asignación de distribución?
Perform Workflow?	¿Realizar Flujo de Trabajo?	¿Realizar Flujo de Trabajo?
checked in	Check In	Check In
Enforce Vertical Alignment	Aplicar Alineación Vertical	Aplicar Alineación Vertical
<b>Location</b>	<b>Ubicación</b>	<b>Ubicación</b>
LPN Handling Unit Width	Ancho de la unidad de manejo de LPN	Ancho de la unidad de manejo de LPN
Configuration/Locations/Production	Configuración/Ubicaciones/Producción	Configuración/Ubicaciones/Producción
work category	categoría de trabajo	categoría de trabajo
Current Capacity in {0}	Capacidad Actual en {0}	Capacidad Actual en {0}
STCC Standard Transportation Commodity Code	Código de Mercancía de Transporte Estándar (STCC)	Código de Mercancía de Transporte Estándar (STCC)
Should carrier service rates be retrieved from multiple carriers?	¿Se deberían recuperar precios de servicio para múltiples transportistas?	¿Se deberían recuperar precios de servicio para múltiples transportistas?
Voice Loading	Carga por voz	Carga por Voz
Packing Code	Código de Empaque	Código de Empaque
What is the weight of an empty standard pallet?	¿Cuál es el peso de un pallet estándar vacío?	¿Cuál es el peso de un pallet estándar vacío?
Inbound Customs	Aduanas Entrante	Aduanas Entrante
Source Work Area	Área de Trabajo de Origen	Área de Trabajo de Origen
Configure each integration point that you want to activate for Warehouse Management.	Configurar cada punto de integración que desees activar para la gestión de almacenes.	Configurar cada punto de integración que desees activar para la gestión de almacenes.
WCS Inventory Snapshot	Captura de Inventario WCS	Captura de Inventario de WCS
Cancel codes available to voice users	Códigos de cancelación disponibles para usuarios de voz.	Códigos de cancelación disponibles para usuarios de voz.
Add Signature	Agregar Firma	Agregar Firma
Order Activity	Actividad de la Orden	Actividad de Orden
Add BOL Level	Agregar Nivel de Carta Porte (BOL)	Agregar Nivel de Carta Porte (BOL)
What category of location type are you creating?	¿Qué categoría de Tipo de Ubicación estás creando?	¿Qué categoría de Tipo de Ubicación estás creando?
Bill of Material Client	Cliente de la Lista de Materiales	Cliente de Lista de Materiales
Display Unit Quantity	Mostrar Cantidad de Unidades	Mostrar Cantidad de Unidades
Location Capacity Code	Código de Capacidad de Ubicación	Código de Capacidad de Ubicación
Line Catch Quantity	Cantidad Variable de Línea	Cantidad Variable de Línea
File Category	Categoría de Archivo	Categoría de Archivo
Destination Currency Code	Código de Divisa de Destino	Código de Divisa de Destino
Add Load To Equipment	Agregar Carga a Equipo	Agregar Carga a Equipo
Variable Lookup	Búsqueda de Variable	Búsqueda de Variable
{0} Additional Action(s)	{0} Acciones Adicionales	{0} Acciones Adicionales
Shipping Lanes	Carriles de Envío	Carriles de Envío
{0} is not a valid date	{0} no es una fecha válida	{0} no es una fecha válida
Retry Settings	Configuración de Reintentos	Configuración de Reintentos
Capture Required	Captura Requerida.	Se Requiere Captura
Add New Assignment Rule	Agregar Nueva Regla de Asignación	Agregar Nueva Regla de Asignación
Value Field	Campo de Valor	Campo de Valor
Discard changes to the map?	¿Descartar cambios al mapa?	¿Descartar cambios al mapa?
Total Planned Misc Two Quantity	Cantidad de Misceláneos Dos Total Planificado	Cantidad Miscelánea Dos Total Planificado
Distribution Pallet Open Flag	Bandera de Apertura Pallet de Distro	Bandera de Pallet Abierto de Distribución
Search Orders	Buscar Órdenes	Buscar Órdenes
Do you want to view an estimate of picks by UOM, volume and number when selecting shipments to allocate?	¿Quieres ver una estimación de las selecciones por UOM, volumen y número al seleccionar los envíos para asignar?	¿Quieres ver un estimado de surtidos por UM, volumen y número al seleccionar envíos a asignar?
Should the device spell the value of the second field in the override resume message?	¿Debería el dispositivo expresar verbalmente el valor del segundo campo en el mensaje de Sustituir de reanudación?	¿Debe el dispositivo expresar verbalmente el valor del segundo campo en el mensaje de Sustituir de reanudación?
Should the system display default print message if work flow is configured to print paper work on shipment complete?	¿Debe el sistema mostrar el mensaje de impresión predeterminado si el flujo de trabajo está configurado para imprimir la documentación cuando el envío esté completo?	¿Debe el sistema mostrar el mensaje de impresión predeterminado si el flujo de trabajo está configurado para imprimir la documentación cuando el envío esté completo?
Should this zone allow overpicking of the replenishments destined to this zone?	¿Debería esta zona permitir el sobresurtido de los reabastos destinados a esta zona?	¿Debería esta zona permitir el sobresurtido de los reabastos destinados a esta zona?
Grow Text	Aumentar texto	Texto de Surtido
Inventory Status Settings	Configuración de Estado de Inventario	Configuración de Estado de Inventario
Should the user be required to perform a distribution audit after completing the distribution deposits?	¿Debe requerirse que el usuario realice una auditoría de distribución después de completar los depósitos de distribución?	¿Debe requerirse que el usuario realice una auditoría de distribución después de completar los depósitos de distribución?
Organization Code	Código de Organización	Código de Organización
Production Area	Área de Producción	Área de Producción
Lookup Field	Campo de Búsqueda	Campo de Búsqueda
Should labels be printed by the external system?	¿Las etiquetas deben ser impresas por el sistema externo?	¿Las etiquetas deben ser impresas por el sistema externo?
